Account Title:,Demo User
Account No:,PK00HABB0000000012345678
Opening Balance:,"446,000.00"

Date,Value Date,Particulars,Chq No,Debit,Credit,Balance
01-Apr-2026,01-Apr-2026,SALARY ACME CORP PAYROLL,,,"260,000.00","706,000.00"
03-Apr-2026,03-Apr-2026,RENT TRANSFER IBFT OUT REF1003,,"65,000.00",,"641,000.00"
05-Apr-2026,05-Apr-2026,NETFLIX.COM POS 4521,,"2,000.00",,"639,000.00"
06-Apr-2026,06-Apr-2026,SPOTIFY P*ABC123,,"1,000.00",,"638,000.00"
08-Apr-2026,08-Apr-2026,K-ELECTRIC BILL CONSUMER 882,,"12,000.00",,"626,000.00"
08-Apr-2026,08-Apr-2026,IMTIAZ SUPER MARKET POS 1102,,"29,500.00",,"596,500.00"
09-Apr-2026,09-Apr-2026,PTCL BROADBAND BILL,,"3,500.00",,"593,000.00"
13-Apr-2026,13-Apr-2026,FOODPANDA ORDER TXN 12001,,"4,800.00",,"588,200.00"
13-Apr-2026,13-Apr-2026,FOODPANDA ORDER TXN 12001B,,"4,800.00",,"583,400.00"
18-Apr-2026,18-Apr-2026,CAREEM RIDES REF*X4,,"2,800.00",,"580,600.00"
22-Apr-2026,22-Apr-2026,PSO FUEL STATION,,"7,800.00",,"572,800.00"
27-Apr-2026,27-Apr-2026,AGHA KHAN HOSPITAL LAB,,"9,000.00",,"563,800.00"
01-May-2026,01-May-2026,SALARY ACME CORP PAYROLL,,,"260,000.00","823,800.00"
03-May-2026,03-May-2026,RENT TRANSFER IBFT OUT REF1004,,"65,000.00",,"758,800.00"
05-May-2026,05-May-2026,NETFLIX.COM POS 4521,,"2,600.00",,"756,200.00"
06-May-2026,06-May-2026,SPOTIFY P*ABC123,,"1,000.00",,"755,200.00"
08-May-2026,08-May-2026,K-ELECTRIC BILL CONSUMER 882,,"12,000.00",,"743,200.00"
09-May-2026,09-May-2026,PTCL BROADBAND BILL,,"3,500.00",,"739,700.00"
10-May-2026,10-May-2026,IMTIAZ SUPER MARKET POS 1102,,"30,500.00",,"709,200.00"
15-May-2026,15-May-2026,FOODPANDA ORDER TXN 13310,,"5,500.00",,"703,700.00"
19-May-2026,19-May-2026,CAREEM RIDES REF*X5,,"3,100.00",,"700,600.00"
23-May-2026,23-May-2026,TOTAL PARCO FUEL,,"7,900.00",,"692,700.00"
28-May-2026,28-May-2026,KHAADI CLOTHING,,"12,000.00",,"680,700.00"
01-Jun-2026,01-Jun-2026,SALARY ACME CORP PAYROLL,,,"260,000.00","940,700.00"
03-Jun-2026,03-Jun-2026,RENT TRANSFER IBFT OUT REF1005,,"65,000.00",,"875,700.00"
05-Jun-2026,05-Jun-2026,NETFLIX.COM POS 4521,,"2,600.00",,"873,100.00"
06-Jun-2026,06-Jun-2026,SPOTIFY P*ABC123,,"1,000.00",,"872,100.00"
08-Jun-2026,08-Jun-2026,K-ELECTRIC BILL CONSUMER 882,,"12,000.00",,"860,100.00"
09-Jun-2026,09-Jun-2026,PTCL BROADBAND BILL,,"3,500.00",,"856,600.00"
09-Jun-2026,09-Jun-2026,IMTIAZ SUPER MARKET POS 1102,,"29,000.00",,"827,600.00"
14-Jun-2026,14-Jun-2026,FOODPANDA ORDER TXN 14102,,"5,000.00",,"822,600.00"
18-Jun-2026,18-Jun-2026,CAREEM RIDES REF*X6,,"2,900.00",,"819,700.00"
22-Jun-2026,22-Jun-2026,PSO FUEL STATION,,"8,100.00",,"811,600.00"
26-Jun-2026,26-Jun-2026,ATM CASH WITHDRAWAL CARD 5566,,"20,000.00",,"791,600.00"

Closing Balance:,"791,600.00"
